,sentence,label
3728,4 июля 2013 года представители армии Египта подтвердили факт задержания отстранённого ими президента страны Мухаммеда Мурси и высокопоставленных сотрудников его администрации.,0
3731,"Ожидается, что медики, следящие за состоянием здоровья Гиффордс, переведут ее в ближайший реабилитационный центр утром в среду 26 января.",1
3733,С таким же счетом одна из хозяек нынешнего чемпионата Европы — сборная Польши — уступила чехам.,0
3736,26 декабря 2019 года вышел десятый альбом «Макулатуры» «Rocky and Chonyatsky».,1
3737,Венгерский национальный банк планирует выпустить памятные монеты в честь борцов с пандемией,1
3742,"После этого Уильямс начала кричать на судью, назвав ее «ненавистницей».",0
3743,"В воскресенье, 12 августа 2018, в Санкт-Петербурге по адресу Малая Невка, дом 25, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий российскому учёному, ботанику Феодосию Викторовичу Самбуку, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.",0
3748,"В номинации «Проза года» победил сборник архимандрита Тихона (Шевкунова) «Несвятые святые и другие рассказы» (издательство Сретенского монастыря, «ОЛМА Медиа Групп»).",1
3770,"Новая Зеландия в целом и Крайстчёрч, в частности, являются местом, которое молодые израильтяне мечтают посетить.",1
3773,"Президент Палестины Махмуд Аббас, который пользуется поддержкой организации ФАТХ, тоже может уйти в отставку.",1
3777,"Лента «Фрутвейл» («Фруктовый сад») 26-летнего Райана Куглера получила приз жюри за лучший игровой американский фильм, а также престижный приз зрительских симпатий в той же категории.",1
3778,"Назначение Руснока и возможное утверждение его кабинета уже конкретно будет означать укрепление власти президента Земана, который ведет беспроигрышную игру.",0
3784,Джошуа начал программировать в возрасте 12 лет.,1
3786,"В несколько быстрых касаний россияне Дзагоев, Зырянов и Кержаков вышли в контратаку.",1
3788,"Тем не менее немногим ранее американский экономист Десмонд Лакман призвал Грецию, Ирландию, Испанию и Португалию, чьи экономики являются самыми проблемными в ЕС, добровольно выйти из зоны евро.",0
3789,"Новозеландцы отшучиваются, что эмиграция из Новой Зеландии в Австралию сделала обе страны умнее.",0
3795,"Меркель подчеркнула, что ЕС и НАТО должны тесно сотрудничать во всех очагах напряженности, так как они это делают в Афганистане.",1
3796,"По данным ООН, с 2015 года Венесуэлу из-за кризиса были вынуждены покинуть около 4 млн человек.",0
3797,"Кабинет Франсуа Олланда после прихода к власти принял законодательную инициативу, которая начиная с 2013 года вводит во Франции «налог для богачей», облагающий 75&nbsp;% ставкой годовой доход граждан, превышающий 1 миллион евро.",0
3804,И очень сложно будет работать с Белоруссией.,0
3811,"Представитель Талибана сообщил, что в ходе переговоров обсуждались детали реализации соглашения между США и талибами, подписанное 29 февраля в Дохе с целью положить конец войне в Афганистане.",1
3814,"Около 30 рабочих на заводе по производству ветрогенераторов Vestas, расположенном в Ньюпорте, столицы Острова Уайт, Англия захватили свой завод в знак протеста против его планируемого закрытия.",0
3817,ФБР 22 декабря арестовало бывшего морского пехотинца по обвинению в подготовке теракта в Сан-Франциско на Рождество.,0
3823,"Насер стал вторым гражданином Индии, которому предъявили обвинения в намерении присоединиться к ИГИЛ.",0
3824,Призы за лучшую мужскую и лучшую женскую роль получили актёры из «Балканского рубежа»: знаменитый ещё с 70-х годов Гойко Митич и Равшана Куркова.,1
3828,Алёхина также запретила своим адвокатам участвовать в заседании.,0
3834,"После 15-го этапа лидером гонки остаётся Алехандро Вальверде, на втором месте немец Роберт Гесинк, а на третьем — испанец Самуэль Санчес.",1
3837,"Эти незабываемые выходные подарили северодвинцам обладатель гранта «Молодежь Поморья 2012-2014» Архангельская региональная общественная организация «Федерация восточного танца Поморья» и РОО Архангельское объединение авторской куклы «Кукольный домик», которое, в эти дни, представило на суд зрителей выставку авторских кукол «1000 и одна сказка».",1
3838,"По данным американских властей, в 2004 году, находясь в России, он и его сын Кирилл организовали преступную группу, которая занималась хищением личной информации владельцев банковских карт с помощью фиктивных интернет-сайтов, «троянских коней» и банковских счетов, открытых в России и в Латвии.",0
3839,"Согласно материалам уголовного дела, Мартин инициировал этот заговор, потому что чувствовал себя оскорбленным из-за того, что Бибер не отвечал на его письма.",0
3840,"С учётом того, что Кокорин и Мамаев пребывали несколько месяцев в СИЗО, их заключение сокращено и составит до шести месяцев.",0
3847,"Крестноходцы верят, что их поддерживает сама Божия Матерь и подаёт по пути чудеса исцелений и помощи.",1
3850,"Президент Бразилии Дилма Руссефф борется свою должность, в то время как Палата депутатов Национального конгресса в воскресенье, 17 апреля 2016 года, будет решать вопрос об её импичменте.",0
3852,Китайские диссиденты создают аналог WikiLeaks,1
3854,Президент Израиля Реувен Ривлин и премьер-министр Биньямин Нетаньяху обратились к Путину с просьбами о помиловании девушки.,1
3856,"Китай торжественно открыл в Джибути первую зарубежную военную базу, на ней будут служить более двух тысяч военных.",1
3862,"Из-за греческой позиции официальное название Македонии в ООН с 1993 года — «бывшая югославская республика Македония», а Греция блокирует ее вступление в Евросоюз и НАТО.",1
3864,"Министр иностранных дел Ирана Али Акбар Салехи и его турецкий коллега Ахмет Давутоглу заявили, что будут сотрудничать в борьбе с Курдской рабочей партией и ее иранским аффилиатом – Партией свободной жизни Курдистана.",0
3866,Приятель Джохара Царнаева Робел Филлипос выпущен под залог,1
3871,"Лауреатом конкурса «Флер-де-лис», приуроченного к победе России в Отечественной войне 1812 года, стала программа содействия издательскому делу Pouchkine, в рамках которой в 1990—2012 годах был поддержан выпуск в российских издательствах около 900 переводов французской литературы универсальной тематики.",1
3872,По мнению прокуратуры он вместе с бывшим главой МВД Грузии Вано Мерабишвили и другими чиновниками пытался помешать расследованию убийства Гиргвлиани и покрывал причастных к нему чиновников.,0
3878,"Не будем забывать, что описанный политический процесс будет проходить в Чехии на фоне коррупционного скандала - следствия по делу Надьовой и трех бывших депутатов от ODS.",0
3879,"В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.",0
3880,Замбийцы выстояли в оставшееся и дополнительное время и свели матч к серии пенальти.,1
3882,"Россия повела себя неприлично, запретив многим предприятиям поставку продовольственных товаров на территорию РФ.",0
3883,"К «катастрофе» евро привело отказ Швейцарского национального банка от «потолка» курса франка к евро на уровне 1,2 франка за евро, который был введен в 2011 году с целью сдержать дефляционные риски и поддержать торговлю и экономику Швейцарии.",1
3890,Позже сам Филипп принёс клятву на верность конституции и народу перед членами обеих палат федерального парламента.,1
3892,"Президент Турции Реджеп Тайип Эрдоган намерен начать политическую и юридическую кампании по противодействию попыткам властей США привлечь к уголовной ответственности сотрудников его службы безопасности, избивших демонстрантов и полицейских в Вашингтоне.",0
3896,"Как пишет Mash, «Влад Росляков был очень замкнутым, почти ни с кем не общался и давно удалился из соцсетей.",0
3897,"Шекатт был убит поздно вечером в четверг в ходе перестрелки с полицейскими, сообщили правоохранители, добавив, что операцию по его нейтрализации они начали около 21:00 по местному времени.",0
3901,"30 июня 2013 года ЦСКА Москва стал самым первым в России профессиональным футбольным клубом, принявшим участие в китайских коммерческих футбольных турнирах.",1
3904,"Кабинет Франсуа Олланда после прихода к власти принял законодательную инициативу, которая начиная с 2013 года вводит во Франции «налог для богачей», облагающий 75&nbsp;% ставкой годовой доход граждан, превышающий 1 миллион евро.",0
3907,"Путин выразил надежду, что великий собор удастся восстановить, и предложил направить во Францию лучших российских специалистов, имеющих богатый опыт реставрации памятников мирового культурного наследия, в том числе произведений средневекового зодчества.",1
3909,"В 1927 году в 19 лет вступил в Коммунистическую партию, служил в Красной армии.",1
3911,"По данным блогеров, эта хулиганская акция красно-белых была запланирована и вызвана недавним убийством болельщика «Спартака» Егора Свиридова, в память о котором фанаты развернули на трибуне плакаты.",0
3919,"«Как всегда — абсолютно не основанные ни на чем голословные истерические обвинения из Киева, которые звучат не только в адрес Рамзана Кадырова но и фактически всех, кто занимает хоть какие-то должности в Москве, — сказал Песков. — Очередные проявления, к сожалению, захлестнувшей Украину и Киев русофобии».",0
3920,"Ранее послы 22 стран, в основном западных, обратились в Совет по правам человека ООН, призвав Китай прекратить массовые репрессии в отношении этнических уйгуров и других мусульман.",0
3927,Вторая проблема присутствует в проприетарной прошивке с беспроводным стеком Qualcomm и позволяет получить доступ к baseband-модему (CVE-2019-10540).,0
3934,"Источники в полиции сообщают, что в субботу около полудня в гостиничный номер, в котором проживал Стросс-Кан, пришла горничная.",0
3938,В Турции арестована группа военных по подозрению в причастности к попытке переворота,0
3939,Китай и Россия предложили в Совете безопасности ООН свой проект резолюции по проблеме ракетных испытаний в Северной Корее.,0
3940,"Главный рефери US Open Брайан Эрли в понедельник постановил, что вербальные выпады Уильямс в адрес греческой судьи Евы Асдераки не являются «значительным нарушением».",0
3941,"За свою карьеру Лидстрем выиграл по сути все главные командные призы мирового хоккея: он вошел в символический «Тройной золотой клуб», одержав победу в Олимпийских играх, чемпионате мира и Кубке Стэнли, причем главный трофей клубного хоккея шведский хоккеист выиграл четыре раза.",1
3950,"В среду — 3 июля 2013 года российский прокурор попросил Тверской суд Москвы заочно приговорить руководителя фонда Hermitage Capital Management Уильяма Браудера к девяти годам тюрьмы, а также признать виновным в уклонении от уплаты налогов умершего в СИЗО аудитора фонда Сергея Магнитского и закрыть против него дело в связи со смертью.",0
3951,"Суд в Южной Корее постановил, что американский технологический гигант Apple и его южнокорейский конкурент Samsung Electronics нарушили патенты друг друга, относящиеся к мобильным устройствам.",0
3960,"Шутка ли, за то время, пока он стоял у руля, Google превратился в наиболее популярный поисковик в мире, ""заразил"" интернет-сообщество просмотром видеороликов на YouTube и выпустил мобильную ОС Android, которая в ближайшее время наверняка станет самой популярной мобильной платформой в мире.",1
3962,В апреле 2017 года Селезнёв уже был приговорён к 27 годам лишения свободы судом в Вашингтоне за его роль в хищении данных о кредитных карточках.,0
3964,"Столкновения между хути и силами Салеха начались на прошлой неделе, когда он обвинил мятежников в нападении на его гигантскую мечеть в Сане и на его племянника — влиятельного командира сил специального назначения Тарека Салеха.",0
3966,"Турция потребовала, чтобы США экстрадировали 75-летнего Гюлена, и направила американским властям документы, якобы указывающие на его причастность к перевороту.",0
3972,"Как сообщил The Hollywood Reporter в конце сентября 2014 года, британский актёр Мэтт Смит, исполняющий роль Одиннадцатого Доктора в британском телесериале «Доктор Кто», сыграет в экранизации романа американского писателя Сета Грэма-Смита «Гордость и предубеждение и зомби», которая является вольной интерпретацией классического произведения англичанки Джейн Остин, священника мистера Коллинза.",1
3976,"Мурад оказалась в числе около 3000 езидских девушек и женщин, ставших жертвами изнасилований, сексуального рабства и других притеснений со стороны армии ИГ.",1
3982,"Скандинавки приехали в Марокко на месяц, путешествовали «дикарями» и проходили популярные среди путешественников маршруты самостоятельно, без гида.",1
3984,"В момент атаки Путин находился на праздничном концерте, ему доложили о происшествии, однако концерт прерван не был и президент его не покинул.",0
3985,"Сторонник левых взглядов Чавес по-прежнему пользуется популярностью у малообеспеченного населении Венесуэлы, однако Каприлесу удалось мобилизовать силы оппозиции.",1
3986,"Хунсян подозревают в неких «серьезных экономических преступлениях», как следует из сообщений полиции провинции Ляонин и МИД Китая, сделанных ранее.",0
3989,"Арестованный в Греции в прошлом году Александр Винник, обвиняемый властями США в отмывании крупных денежных сумм с помощью криптобиржи BTC-e, написал признание в Генпрокуратуру РФ.",0
3996,"Дейенерис Таргариен и Джон Сноу на драконах не только не смогли убить предводителя врагов Короля Ночи, но и сами едва не погибли.",0
4000,"Местные наблюдатели считают, что такие нейтральные фигуры, как господин Сагитов, просто перестали отвечать ""требованиям дня"", после того как осложнились отношения господина Рахимова с федеральным центром.",0
4002,"Первая ракетка мира Новак Джокович из Сербии стал победителем Открытого чемпионата США среди мужчин, одержав победу над испанцем Рафаэлем Надалем со счетом 6:2, 6:4, 6:7, 6:1.",0
4003,"Сеульский суд в пятницу 24 августа вынес решение, что Apple нарушил два патента Samsung по беспроводной связи, а Samsung — запатентованную дизайнерскую разработку Apple.",0
4005,30 ноября Британское Королевское Общество вручит Стивену Хокингу престижную Медаль Копли (Copley Medal).,1
4007,"Возможно, именно поэтому кураторы особо эффективных менеджеров предпочитают выступать с арией московского гостя сразу в Лондоне, среди целевой аудитории.",0
4011,"33-летнего Селезнёва, сына депутата Государственной Думы Валерия Селезнёва, обвиняют в хищении информации о кредитных карточках и иных личных данных, а также проведении незаконных операций по обналичиванию похищенных средств.",0
4014,"В заявку сборной России под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.",1
4019,"В 2014 году дело было закрыто, но его возобновили в 2016 году после того, как Голстейн в интервью Fox News заявил, что убил талиба, задержанного в афганском районе Марджа, из опасений, что, если его отпустят на свободу, он будет нападать на афганцев, помогающих американским военным.",1
4025,"На фотографии на обложке Царнаев похож скорее на рок-звезду, чем на 19-летнего парня с опухшим лицом и рукой в гипсе, который чуть больше недели назад отказался признать свою вину в организации взрывов на Бостонском марафоне.",0
4027,"И нельзя сказать, что Шмидт не получил должной компенсации за отличное руководство компанией.",1
4032,Джокович и Стосур — триумфаторы US Open 2011,1
4033,Проект Японии и США не нравится Пекину и Москве.,0
4036,"Обращаясь к десяткам тысяч человек, присутствовавшим на мессе на площади Святого Петра, понтифик сказал, что хочет, чтобы этот сбор стал «жестом благотворительности, который не только облегчит материальные страдания, но и продемонстрирует мою личную близость и близость всей церкви» к народу Украины.",1
4037,"Марк отметил, что рабочие Visteon рассказали рабочим Vestas, что захват «является тем, что мы должны сделать для того, чтобы защитить себя».",1
4045,"""Президент не опирается на мнения, которые он слышал в течение последних дней"", - констатировала кандидат на премьерский пост Мирослава Немцова.",0
4046,"В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.",0
4047,"Газета пишет, что отделение банка Квансон в Даньдуне работает на 13 этаже здания, занимаемого китайской группой компаний Хунсян, чьи контакты с КНДР стали предметом расследования.",0
4048,"70-летний Младич обвиняется в том, что в 1995 году именно он отдал распоряжение об убийстве около 8 тысяч боснийцев — взрослых мужчин и мальчиков в Сребренице, а ранее — об осаде Сараево.",0
4049,"В 1996 году Младич наряду с другими руководителями Республики Сербской был обвинён Гаагским Международным трибуналом в совершении военных преступлений и геноциде в связи с осадой Сараева, а также в связи с резнёй в Сребренице.",0
4052,"Уже в январе пресса опубликовала сообщения, что Аль-Каида готовится убить канцлера Германии и назывался конкретный срок: перед сентябрьскими выборами.",0
4059,На счету Уильямс 13 побед в турнирах серии Большого шлема.,1
4060,"Суд над 53-летним Лебедевым начался в мае и был связан с дракой 2011 года, когда во время записи телевизионного ток-шоу он вскочил со стула и несколько рас ударил бизнесмена Сергея Полонского.",0
4065,"Дилайл, опустошённый тем, что начал распадаться его брак, в 2007 году пришел в посольство России в Оттаве и предложил продать секретную информацию.",1
4070,26-летний американец был сторонником Исламского государства (ИГ).,1
4073,"Жирков рассказал, что он остаётся в ""Анжи"" ещё на год.",1
4088,"Cаманте Стосур — девятой ракетке мира потребовалось лишь 73 минуты, чтобы одержать победу над Уильямс со счетом 6:2, 6:3.",1
4090,"Скорсезе и Де Ниро выступят также продюсерами ленты, а сценарий поручено написать Стивену Зэйллиану, автору «Списка Шиндлера» (Schindler's List) и «Банд Нью-Йорка» (Gangs of New York).",1
4093,"По его мнению, ее провоцируют США и их союзники, такие как Израиль.",0
4095,"Тем не менее по результатам совещания Сурков заверил Путина, что правительство совместно с администрацией президента сделает все необходимое для устранения недостатков в этой сфере.",1
4100,"Полицейские и солдаты ворвались в торговый центр и потребовали, чтобы Томма сдался, на что он ответил, открыв огонь по ним, убив полицейского и ранив еще троих.",0
4102,"В субботу, 6 октября 2018 года, советский и российский художник-живописец и график Александр Шилов отметил свой 75-летний юбилей.",1
4104,Вскоре основатель сайта WikiLeaks Джулиан Ассанж должен будет предстать перед лондонским судом.,0
4110,"Приняв эту резолюцию, законодатели Массачусетса поддержали всеобщие ценности прав и свобод человека», — заявил в связи с принятием резолюции постоянный представитель НКР в США Роберт Аветисян.",1
4111,"Санкции «помешают попыткам Мадуро использовать венесуэльскую нефть в качестве инструмента торга в переговорах и помочь его сторонникам обрести защиту на Кубе», говорится в заявлении министра финансов Стивена Мнучина.",1
4114,Адвокаты политика заявили о намерении подать жалобу в ЕСПЧ.,1
4115,"В своём фейсбук-аккаунте Ивоби назвал главу «Лиги» Маттео Сальвини «великим лидером», который привёл партию к победе.",1
4116,"Инициатива перешла к российской команде, а доминиканки начали совершать невынужденные ошибки.",1
4123,"Военизированная ливанская шиитская организация «Хезболла» осудила ракетные удары по Сирии со стороны США, Великобритании и Франции.",0
4126,"Напомним, что в 2011 году Бардо написала премьеру России Путину письмо с благодарностью за то, что он запретил в России охотиться на детёнышей тюленей, назвав его ''«президентом своего сердца»''.",1
4127,"Ранее в понедельник госсекретарь США Джон Керри заявил, что США не будут возражать против вооружения сирийских повстанцев Великобританией и Францией.",1
4128,"Сначала зрители стали свидетелями московского дерби между «Динамо» и ЦСКА, а затем московский «Спартак» экзаменовал гостей из Питера.",0
4132,"Согласно газете «Вашингтон пост», в качестве доказательств состава преступления столичные правоохранители также предоставили и письменные свидетельства жертв атаки, согласно которым сотрудники охраны Эрдогана «напали и на полицейских Вашингтона в, как минимум, трёх отдельных случаях».",0
4147,Соглашение о сокращении бюджета и долговом свопе с кредиторами Греции позволит этой стране получить новый пакет помощи от Евросоюза и Международного валютного фонда.,1
4159,"В прошлом году Мадуро переизбрали президентом, однако позднее поддерживаемый США лидер оппозиции Хуан Гуайдо провозгласил себя временным президентом.",1
4161,Для тихой Норвегии — это самая крупная трагедия со времен Второй мировой войны.,1
4167,И я говорю вам — Норвегия должна быть сильной и узнаваемой.,1
4168,Netflix закрывает сериал «Карточный домик» на фоне скандала с Кевином Спейси,0
4170,Им оказался 17-летний житель Санта-Фе Димитриос Пагуртзис.,0
4173,"Моралес против политики США по искоренению коки, а также против неолиберальной политики прошлого Боливийского правительства, включая соглашения о свободной торговле.",0
4176,"В том, что Украина не является успешной, украинцы винят руководителей, а наибольшим успехом за 20 лет независимости считают отсутствие военных конфликтов.",1
4178,"Пакистанец, подозреваемый в терроризме, предстал перед судом в США",0
4180,Замглавы российского МИД РФ Андрей Руденко заявил: «Россия не собиралась и не собирается никоим образом вмешиваться во внутренние дела Грузии в том или ином виде».,1
4185,1 июля 2019 года Хорошевский суд Москвы признал Алексея Навального виновным в повторном нарушении правил проведения акции (ч.,0
4189,"По мнению аналитиков, канцлер Меркель, в совершенстве владеющая русским языком, была главным контактным лицом ЕС в диалоге с Путиным.",1
4193,"Комиссар ЕС по экономической и валютной политике Олли Рен убежден, что третья и четвертая по величине экономики Европы не пойдут по стопам обремененных гигантскими долгами Греции, Ирландии и Португалии, которым в прошлом году пришлось выделить многомиллиардные пакеты помощи.",0
4198,"«Единая Россия» поддержала инициативу Д. Медведева, лидер ЛДПР В. Жириновский также одобрил переименование.",1
4207,«Наша установка — хотим работать с Госдумой в конструктивном русле.,1
4208,"Владелец кафе Йохен Шарф не только принял под своё крыло необычных посетителей, но и принял самое деятельное участие в процессе, снабжая занятых рукоделием горячим шоколадом.",1
4214,В случае с Россией Земан настаивает на кандидатуре Владимира Ремека - первого чехословацкого космонавта и депутата от чешской компартии в Европарламенте.,1
4219,"По версии обвинения, в день убийства Кристенсен был одержим идеей убить человека.",0
4221,"Стоит ли говорить, что 55-летний Шмидт сделал за это время для Google больше, чем могли бы сделать основатели компании - Ларри Пейдж и Сергей Брин.",1
4229,Ему удалось добиться снятия обвинений в непреднамеренном убийстве в авиакомпании Continental Airlines по делу о катастрофе лайнера Concorde в 2000 году.,1
4232,Китай отправил в Венесуэлу вторую партию медицинской помощи.,1
4237,Умер Кирк Дуглас — последний представитель «золотого века» американского кинематографа,1
4240,"Браудер также активно участвует в общественно-политической жизни, пишет статьи о правах человека для вашингтонской газеты.",1
4247,"Сам продюсер отвергает обвинения в домогательствах, изнасилованиях и прочих насильственных действиях.",0
4249,21—22 октября 2006 года ряд представителей российской интеллигенции выступил против преследований в отношении грузин.,1
4250,"По мнению Грызлова, уровень поддержки единороссов в каждом конкретном регионе гораздо выше, чем на прошлых выборах.",1
4259,"Командующий силами США в Афганистане встретился с лидерами военизированного движения Талибан в рамках двустороннего соглашения о начале мирного процесса, чтобы обсудить пути снижения насилия в стране.",1
4266,"Александр Лапшин был задержан сотрудниками милиции Беларуси в декабре 2016 года и экстрадирован в Азербайджан, где ему были предъявлены обвинения в связи с поездкой в Нагорный Карабах через Армению несколько лет назад.",0
4267,"В женском разряде сильнее всех оказалась австралийская теннисистка Саманта Стосур, а в мужском победу одержал серб Новак Джокович.",1
4276,"Гюлен является оппонентом Эрдогана, который около 20 лет проживает в США и отрицает свою причастность к бунту.",0
4279,"В четверг, 22 ноября 2017 года, Гаагский Международный трибунал по бывшей Югославии приговорил бывшего военного командира боснийских сербов 74-летнего генерала Ратко Младича к пожизненному заключению, признав его виновным в геноциде во время Боснийской войны.",0
4282,"Прокурор заявил, что решение суда в Березниках было вынесено на «совершенно законных основаниях, все было учтено».",1
4286,"В недавнем заявлении американские военные отвергли обвинения повстанцев в нарушениях, отметив, что соглашение позволяет иностранным войскам защищать афганские силы безопасности в случае нападения талибов.",1
4289,"«Теперь я — ваш президент, и Америка разоблачит преступления режима Кастро, и поддержит кубинский народ в их борьбе за свободу», — заявил Трамп, выступая в районе Маленькая Гавана в Майами.",0
4292,"Пришедшие на «Кубок Поморья» северяне смогли также насладиться дефиле восточного костюма, которое представили им очаровательные модели из агентства CENTERUM: Анастасия Шкуренко, Анастасия Большакова, Вероника Платонова, Даша Турова.",1
